,name,company,year,Price,kms_driven,fuel_type
0,Maruti Wagon R LXI CNG,Maruti,2010,175000,72000,CNG
1,Hyundai Creta 1.6 CRDi SX Option,Hyundai,2015,1250000,41000,Diesel
2,Honda Jazz V,Honda,2011,450000,46000,Petrol
3,Maruti Ertiga VDI,Maruti,2012,600000,87000,Diesel
4,Audi A4 New 2.0 TDI Multitronic,Audi,2013,1773999,40670,Diesel
5,Hyundai EON LPG Era Plus Option,Hyundai,2012,235000,75000,LPG
6,Nissan Micra Diesel XV,Nissan,2013,350000,86999,Diesel
7,Toyota Innova Crysta 2.8 GX AT 8S,Toyota,2016,1750000,36000,Diesel
8,Volkswagen Vento Diesel Comfortline,Volkswagen,2013,520000,64430,Diesel
9,Tata Indica Vista Quadrajet LS,Tata,2012,195000,65932,Diesel
10,Maruti Ciaz Zeta,Maruti,2018,994999,25692,Petrol
11,Honda City 1.5 V AT Sunroof,Honda,2012,449000,60000,Petrol
12,Maruti Swift VDI BSIV,Maruti,2015,560000,64424,Diesel
13,Land Rover Range Rover 2.2L Pure,Land,2014,2700000,72000,Diesel
14,Land Rover Freelander 2 TD4 SE,Land,2012,1750000,85000,Diesel
15,Mitsubishi Pajero Sport 4X4,Mitsubishi,2014,1500000,110000,Diesel
16,Honda Amaze S i-Dtech,Honda,2016,540000,58950,Diesel
17,Maruti Swift DDiS VDI,Maruti,2017,599000,25000,Diesel
18,Renault Duster 85PS Diesel RxL Plus,Renault,2014,634000,77469,Diesel
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Mercedes-Benz,2014,2800000,78500,Diesel
20,BMW 3 Series 320d,BMW,2014,1855000,32982,Diesel
21,Maruti S Cross DDiS 200 Alpha,Maruti,2015,825000,55392,Diesel
22,Audi A6 2011-2015 35 TFSI Technology,Audi,2015,2350000,55985,Petrol
23,Hyundai i20 1.2 Magna,Hyundai,2010,187000,45807,Petrol
24,Volkswagen Vento Petrol Highline AT,Volkswagen,2010,285000,33000,Petrol
25,Honda City Corporate Edition,Honda,2012,425000,51920,Petrol
26,Nissan Micra Diesel XV,Nissan,2012,425000,54000,Diesel
27,Maruti Alto K10 2010-2014 VXI,Maruti,2013,275000,54000,Petrol
28,Honda WRV i-VTEC VX,Honda,2018,990000,37430,Petrol
29,Toyota Innova 2.5 V Diesel 7-seater,Toyota,2007,400000,262000,Diesel
30,Renault Duster 110PS Diesel RxZ Pack,Renault,2013,775000,62000,Diesel
31,Toyota Corolla Altis G,Toyota,2012,675000,87615,Petrol
32,Mahindra Ssangyong Rexton RX7,Mahindra,2013,1250000,72000,Diesel
33,Audi A6 2.7 TDI,Audi,2010,1150000,35000,Diesel
34,Volkswagen Vento 1.6 Highline,Volkswagen,2014,698000,55431,Petrol
35,Maruti Wagon R LXI BSIII,Maruti,2009,185000,83816,Petrol
36,Maruti Vitara Brezza ZDi Plus,Maruti,2018,863000,50075,Diesel
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,2017,484999,52000,Petrol
38,Mercedes-Benz M-Class ML 350 CDI,Mercedes-Benz,2013,2800000,85000,Diesel
39,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,2013,500000,62000,Diesel
40,Maruti Alto LXi,Maruti,2008,125000,90000,Petrol
41,Tata Nano LX SE,Tata,2014,153000,19698,Petrol
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,2017,558000,22033,Diesel
43,Hyundai i20 Magna Optional 1.2,Hyundai,2014,474000,35487,Petrol
44,Hyundai Elantra 2.0 SX Option AT,Hyundai,2014,885000,46374,Petrol
45,Toyota Corolla Altis G AT,Toyota,2016,1011000,52001,Petrol
46,Hyundai Elantra CRDi,Hyundai,2008,425000,58005,Diesel
47,Toyota Innova Crysta 2.7 GX MT,Toyota,2012,1095000,70704,Petrol
48,Hyundai Xcent 1.1 CRDi S,Hyundai,2014,385000,75000,Diesel
49,Mahindra Thar CRDe AC,Mahindra,2012,550000,75800,Diesel
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,2015,2143000,13648,Diesel
51,Maruti Swift LDI,Maruti,2014,425000,52000,Diesel
52,Maruti Swift Ldi BSIV,Maruti,2014,330000,53000,Diesel
53,Maruti Swift VDI,Maruti,2013,385000,65650,Diesel
54,Hyundai Grand i10 Sportz,Hyundai,2015,360000,54000,Petrol
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,2015,399000,39000,Petrol
56,Renault KWID RXT,Renault,2017,330000,16542,Petrol
57,Hyundai i10 Asta,Hyundai,2010,206999,32000,Petrol
58,Nissan X-Trail SLX AT,Nissan,2010,775000,121812,Diesel
